step,loss,l1_loss
200,6.939,0.678
400,3.108,0.568
600,2.64,0.509
800,2.304,0.457
1000,2.051,0.411
1200,1.889,0.396
1400,1.71,0.371
1600,1.588,0.355
1800,1.434,0.341
2000,1.312,0.332
2200,1.205,0.317
2400,1.11,0.308
2600,1.009,0.306
2800,0.921,0.295
3000,0.844,0.285
3200,0.789,0.287
3400,0.729,0.284
3600,0.674,0.278
3800,0.63,0.269
4000,0.59,0.265
4200,0.56,0.268
4400,0.521,0.259
4600,0.483,0.252
4800,0.472,0.25
5000,0.44,0.243
5200,0.418,0.239
5400,0.411,0.246
5600,0.393,0.239
5800,0.378,0.236
6000,0.361,0.227
6200,0.36,0.233
6400,0.345,0.228
6600,0.338,0.226
6800,0.32,0.216
7000,0.317,0.217
7200,0.305,0.214
7400,0.309,0.218
7600,0.295,0.212
7800,0.288,0.205
8000,0.286,0.209
8200,0.276,0.201
8400,0.276,0.201
8600,0.271,0.204
8800,0.271,0.203
9000,0.264,0.198
9200,0.257,0.195
9400,0.254,0.196
9600,0.246,0.189
9800,0.242,0.187
10000,0.242,0.187
11000,0.221,0.177
12000,0.212,0.173
13000,0.202,0.168
14000,0.198,0.167
15000,0.193,0.164
16000,0.182,0.157
17000,0.174,0.152
18000,0.168,0.148
19000,0.164,0.146
20000,0.159,0.142
21000,0.153,0.137
22000,0.151,0.137
23000,0.147,0.135
24000,0.143,0.132
25000,0.138,0.127
26000,0.134,0.125
27000,0.128,0.119
28000,0.128,0.119
29000,0.124,0.115
30000,0.118,0.111
31000,0.118,0.111
32000,0.118,0.112
33000,0.111,0.106
34000,0.109,0.104
35000,0.107,0.101
36000,0.105,0.1
37000,0.105,0.101
38000,0.103,0.099
39000,0.099,0.095
40000,0.106,0.102
41000,0.098,0.095
42000,0.097,0.093
43000,0.099,0.095
44000,0.096,0.093
45000,0.092,0.089
46000,0.092,0.089
47000,0.091,0.088
48000,0.092,0.089
49000,0.088,0.085
50000,0.087,0.084
51000,0.087,0.084
52000,0.084,0.082
53000,0.083,0.081
54000,0.083,0.08
55000,0.082,0.08
56000,0.082,0.08
57000,0.08,0.079
58000,0.083,0.081
59000,0.077,0.076
60000,0.079,0.077
61000,0.077,0.076
62000,0.08,0.079
63000,0.077,0.075
64000,0.075,0.073
65000,0.073,0.072
66000,0.073,0.072
67000,0.073,0.072
68000,0.072,0.07
69000,0.072,0.071
70000,0.07,0.069
71000,0.071,0.07
72000,0.069,0.068
73000,0.069,0.067
74000,0.069,0.068
75000,0.068,0.067
76000,0.067,0.066
77000,0.067,0.066
78000,0.068,0.067
79000,0.067,0.066
80000,0.067,0.066
81000,0.066,0.065
82000,0.064,0.063
83000,0.065,0.064
84000,0.064,0.063
85000,0.063,0.062
86000,0.065,0.064
87000,0.067,0.066
88000,0.066,0.065
89000,0.061,0.061
90000,0.06,0.059
91000,0.061,0.061
92000,0.06,0.059
93000,0.061,0.06
94000,0.061,0.06
95000,0.059,0.058
96000,0.06,0.06
97000,0.058,0.058
98000,0.057,0.057
99000,0.059,0.058
100000,0.056,0.055
